ebno_db,ber,bler,throughput_bits_per_frame,spectral_efficiency_bps_hz,modulation,coderate,code_family,channel_type,channel_profile,estimator_type,mimo_mode
-10.0,0.38127237955729165,1.0,0.0,0.0,16QAM,0.5,ldpc,cdl,A,ls,2x2
-8.0,0.34673478868272567,1.0,0.0,0.0,16QAM,0.5,ldpc,cdl,A,ls,2x2
-6.0,0.3093101501464844,1.0,0.0,0.0,16QAM,0.5,ldpc,cdl,A,ls,2x2
-4.0,0.27109603881835936,1.0,0.0,0.0,16QAM,0.5,ldpc,cdl,A,ls,2x2
-2.0,0.22860768636067708,1.0,0.0,0.0,16QAM,0.5,ldpc,cdl,A,ls,2x2
0.0,0.17107103135850693,1.0,0.0,0.0,16QAM,0.5,ldpc,cdl,A,ls,2x2
2.0,0.10636850992838541,0.94140625,180.0,0.234375,16QAM,0.5,ldpc,cdl,A,ls,2x2
4.0,0.06144315931532118,0.5953125,1243.1999999999998,1.61875,16QAM,0.5,ldpc,cdl,A,ls,2x2
6.0,0.03508360120985243,0.3463541666666667,2007.9999999999998,2.614583333333333,16QAM,0.5,ldpc,cdl,A,ls,2x2
8.0,0.022770436604817708,0.2171875,2404.8,3.13125,16QAM,0.5,ldpc,cdl,A,ls,2x2
10.0,0.011672804090711806,0.1234375,2692.8,3.50625,16QAM,0.5,ldpc,cdl,A,ls,2x2
12.0,0.00832366943359375,0.07864583333333333,2830.4,3.685416666666667,16QAM,0.5,ldpc,cdl,A,ls,2x2
14.0,0.005960845947265625,0.05286458333333333,2909.6,3.7885416666666667,16QAM,0.5,ldpc,cdl,A,ls,2x2
16.0,0.002986653645833333,0.03177083333333333,2974.4,3.872916666666667,16QAM,0.5,ldpc,cdl,A,ls,2x2
18.0,0.002303314208984375,0.022395833333333334,3003.2000000000003,3.910416666666667,16QAM,0.5,ldpc,cdl,A,ls,2x2
20.0,0.0010871039496527777,0.0125,3033.6000000000004,3.95,16QAM,0.5,ldpc,cdl,A,ls,2x2
