epoch,loss,accuracy
1,2.0412089824676514,0.0625
2,1.944520354270935,0.0625
3,1.8647196292877197,0.20000000298023224
4,1.8020837306976318,0.32500001788139343
5,1.7552317380905151,0.3375000059604645
6,1.7218939065933228,0.3499999940395355
7,1.6986242532730103,0.38750001788139343
8,1.6833196878433228,0.375
9,1.6742477416992188,0.375
10,1.669777274131775,0.38750001788139343
11,1.6683605909347534,0.38750001788139343
12,1.6682984828948975,0.4000000059604645
13,1.6685779094696045,0.4124999940395355
14,1.6677467823028564,0.4124999940395355
15,1.6646339893341064,0.4124999940395355
16,1.6598249673843384,0.4124999940395355
17,1.654001235961914,0.4375
18,1.647281527519226,0.4375
19,1.6401212215423584,0.4375
20,1.6327921152114868,0.4375
21,1.6256461143493652,0.4375
22,1.6188184022903442,0.42500001192092896
23,1.612553358078003,0.4749999940395355
24,1.6066111326217651,0.48750001192092896
25,1.6011968851089478,0.48750001192092896
26,1.5966148376464844,0.48750001192092896
27,1.5928010940551758,0.48750001192092896
28,1.589367151260376,0.48750001192092896
29,1.586691975593567,0.48750001192092896
30,1.5837123394012451,0.48750001192092896
31,1.5814943313598633,0.48750001192092896
32,1.5793176889419556,0.48750001192092896
33,1.5770955085754395,0.48750001192092896
34,1.5746124982833862,0.48750001192092896
35,1.5722318887710571,0.48750001192092896
36,1.5695019960403442,0.48750001192092896
37,1.5665414333343506,0.48750001192092896
38,1.5635207891464233,0.48750001192092896
39,1.5602818727493286,0.48750001192092896
40,1.556555151939392,0.5
41,1.5541831254959106,0.5
42,1.5514870882034302,0.5
43,1.5485954284667969,0.5
44,1.5461745262145996,0.48750001192092896
45,1.5439079999923706,0.48750001192092896
46,1.541682243347168,0.5
47,1.5395928621292114,0.5
48,1.5375888347625732,0.5
49,1.5352470874786377,0.5
50,1.5329556465148926,0.5
51,1.5311460494995117,0.5
52,1.5293521881103516,0.5
53,1.5275318622589111,0.5
54,1.5265083312988281,0.5
55,1.5244168043136597,0.5
56,1.5225777626037598,0.5
57,1.5207600593566895,0.5
58,1.5190181732177734,0.5
59,1.5172419548034668,0.5
60,1.5155518054962158,0.512499988079071
61,1.5138500928878784,0.512499988079071
62,1.5121527910232544,0.512499988079071
63,1.5105392932891846,0.512499988079071
64,1.5088932514190674,0.512499988079071
65,1.507089376449585,0.512499988079071
66,1.5047146081924438,0.512499988079071
67,1.5022882223129272,0.512499988079071
68,1.5008505582809448,0.512499988079071
69,1.4994423389434814,0.512499988079071
70,1.497910737991333,0.5250000357627869
71,1.496221899986267,0.5250000357627869
72,1.4944791793823242,0.5250000357627869
73,1.4926729202270508,0.5250000357627869
74,1.490909218788147,0.5250000357627869
75,1.4891586303710938,0.5250000357627869
76,1.4874438047409058,0.5250000357627869
77,1.4856481552124023,0.5250000357627869
78,1.4838495254516602,0.5250000357627869
79,1.4818753004074097,0.5250000357627869
80,1.4798394441604614,0.5250000357627869
81,1.4777408838272095,0.5250000357627869
82,1.4756628274917603,0.5375000238418579
83,1.4734797477722168,0.5375000238418579
84,1.471274495124817,0.5375000238418579
85,1.4676352739334106,0.5375000238418579
86,1.4653494358062744,0.5375000238418579
87,1.4629006385803223,0.5375000238418579
88,1.4604579210281372,0.5375000238418579
89,1.458031177520752,0.5375000238418579
90,1.45582115650177,0.5375000238418579
91,1.4538114070892334,0.5375000238418579
92,1.45181405544281,0.5375000238418579
93,1.449760913848877,0.5375000238418579
94,1.4476732015609741,0.5375000238418579
95,1.4455361366271973,0.5375000238418579
96,1.443419337272644,0.5375000238418579
97,1.4412533044815063,0.5625
98,1.4390971660614014,0.574999988079071
99,1.436943531036377,0.574999988079071
100,1.4347424507141113,0.574999988079071
101,1.4324897527694702,0.574999988079071
102,1.4302023649215698,0.574999988079071
103,1.4279290437698364,0.6000000238418579
104,1.4256079196929932,0.6000000238418579
105,1.4232432842254639,0.6000000238418579
106,1.4207972288131714,0.6000000238418579
107,1.4182305335998535,0.6000000238418579
108,1.4154013395309448,0.6000000238418579
109,1.4108999967575073,0.6000000238418579
110,1.4085623025894165,0.6000000238418579
111,1.4061774015426636,0.6000000238418579
112,1.403540849685669,0.6000000238418579
113,1.4008169174194336,0.6000000238418579
114,1.3981512784957886,0.6000000238418579
115,1.395547866821289,0.6000000238418579
116,1.392914056777954,0.6000000238418579
117,1.3901742696762085,0.6000000238418579
118,1.3873778581619263,0.6000000238418579
119,1.3845735788345337,0.6000000238418579
120,1.3817379474639893,0.6000000238418579
121,1.3788245916366577,0.612500011920929
122,1.376278281211853,0.612500011920929
123,1.3734673261642456,0.612500011920929
124,1.3706761598587036,0.612500011920929
125,1.3678343296051025,0.612500011920929
126,1.3649073839187622,0.612500011920929
127,1.3619637489318848,0.612500011920929
