ebno_db,best_mcs_index,best_mod_order,best_coderate,oracle_bler,oracle_throughput_bits_per_frame
19.71390217488621,5,6,0.75,0.05859375,6507.0
-8.720574349182888,0,2,0.5,1.0,0.0
0.2343624669357176,0,2,0.5,0.91015625,138.0
17.03520282073746,4,6,0.6666666666666666,0.076171875,5676.0
6.881034189350807,0,2,0.5,0.146484375,1311.0
-4.4649242259378354,0,2,0.5,1.0,0.0
4.4049781889480535,0,2,0.5,0.306640625,1065.0
15.805241469292046,3,4,0.75,0.060546875,4329.0
17.09095392190674,5,6,0.75,0.099609375,6223.5
3.3641976368217357,0,2,0.5,0.392578125,933.0
5.319351261349459,0,2,0.5,0.203125,1224.0
-8.579775011682994,0,2,0.5,1.0,0.0
-3.9766752415402866,0,2,0.5,1.0,0.0
17.02212023621474,5,6,0.75,0.09375,6264.0
5.274723841204269,0,2,0.5,0.19140625,1242.0
9.163557991977086,0,2,0.5,0.083984375,1407.0
-9.333759387488222,0,2,0.5,1.0,0.0
14.770052333812835,3,4,0.75,0.08203125,4230.0
16.256174479992563,4,6,0.6666666666666666,0.08984375,5592.0
-0.8278497919206131,0,2,0.5,1.0,0.0
11.005274581907365,2,4,0.5,0.0859375,2808.0
8.072982722934523,0,2,0.5,0.11328125,1362.0
17.991137266988275,5,6,0.75,0.064453125,6466.5
16.513168212241126,4,6,0.6666666666666666,0.080078125,5652.0
-5.619594105351414,0,2,0.5,1.0,0.0
4.783712141386719,0,2,0.5,0.25,1152.0
-3.308747341509944,0,2,0.5,1.0,0.0
17.029525487944603,4,6,0.6666666666666666,0.0625,5760.0
11.349716993796601,1,2,0.75,0.064453125,2155.5
9.658448997777633,1,2,0.75,0.095703125,2083.5
17.125133343745023,4,6,0.6666666666666666,0.076171875,5676.0
-0.6963688251992401,0,2,0.5,0.998046875,3.0
2.5547971452621283,0,2,0.5,0.4921875,780.0
-0.8148980355456121,0,2,0.5,1.0,0.0
10.452489654905197,1,2,0.75,0.091796875,2092.5
-6.877754869496365,0,2,0.5,1.0,0.0
-2.5597657843359567,0,2,0.5,1.0,0.0
-6.838351210291725,0,2,0.5,1.0,0.0
-9.449603042366011,0,2,0.5,1.0,0.0
6.795177007309356,0,2,0.5,0.158203125,1293.0
-2.4278464940872606,0,2,0.5,1.0,0.0
16.12418044628064,3,4,0.75,0.048828125,4383.0
-1.1610498641194447,0,2,0.5,1.0,0.0
18.25346537165011,5,6,0.75,0.0703125,6426.0
18.683739324747165,5,6,0.75,0.06640625,6453.0
-9.609115439182972,0,2,0.5,1.0,0.0
5.544366643940155,0,2,0.5,0.205078125,1221.0
-4.862072352470328,0,2,0.5,1.0,0.0
14.513344016094639,3,4,0.75,0.0703125,4284.0
19.153888528476315,5,6,0.75,0.04296875,6615.0
-8.84861002760318,0,2,0.5,1.0,0.0
14.073666378701084,3,4,0.75,0.07421875,4266.0
-5.017187536693751,0,2,0.5,1.0,0.0
-9.898122762019444,0,2,0.5,1.0,0.0
11.074174936713963,2,4,0.5,0.09765625,2772.0
0.2630510647572457,0,2,0.5,0.875,192.0
13.139302459189597,2,4,0.5,0.0625,2880.0
-9.06088257182794,0,2,0.5,1.0,0.0
-0.446808975869077,0,2,0.5,0.984375,24.0
-6.878681373317756,0,2,0.5,1.0,0.0
7.396293202716926,0,2,0.5,0.1015625,1380.0
7.336447967874417,0,2,0.5,0.134765625,1329.0
-1.0806765709951751,0,2,0.5,1.0,0.0
6.264618531404739,0,2,0.5,0.162109375,1287.0
9.746096317657035,1,2,0.75,0.080078125,2119.5
12.91773444216713,2,4,0.5,0.0546875,2904.0
5.269032153301346,0,2,0.5,0.203125,1224.0
11.398529918112285,2,4,0.5,0.080078125,2826.0
-0.17750583014031385,0,2,0.5,0.953125,72.0
11.735802368332806,2,4,0.5,0.091796875,2790.0
-1.9719283274946608,0,2,0.5,1.0,0.0
9.976059494327618,0,2,0.5,0.056640625,1449.0
5.546024186931218,0,2,0.5,0.201171875,1227.0
18.70247184567812,5,6,0.75,0.078125,6372.0
11.830359666096925,2,4,0.5,0.087890625,2802.0
14.639058702757644,3,4,0.75,0.0703125,4284.0
18.958227352035024,5,6,0.75,0.0625,6480.0
0.916812834144995,0,2,0.5,0.765625,360.0
13.988037297070086,2,4,0.5,0.037109375,2958.0
10.76137601504405,1,2,0.75,0.087890625,2101.5
